"transaction_id","vendor","amount","date","purchase_order","contract_number","department"
"0211710601","OFFICE DEPOT","33.9","2022-06-02","000053922101","","DPH Public Health"
"0186455101","Morgan Stanley Capital Group Inc.","345098.25","2021-12-13","000053922401","1000017227","PUC Public Utilities Commsn"
"0200079101","Morgan Stanley Capital Group Inc.","326604","2022-03-01","000053922601","1000018419","PUC Public Utilities Commsn"
"0176427201","OhmConnect Inc","40200","2021-08-26","000053922801","1000016654","PUC Public Utilities Commsn"
"0197408701","EMS BRUEL & KJAER INC","27666.67","2022-02-09","000053923001","1000014538","AIR Airport Commission"
"0197414401","EMS BRUEL & KJAER INC","27666.67","2022-02-09","000053923001","1000014538","AIR Airport Commission"
"0183451601","PACIFIC GAS & ELECTRIC CO","77000","2021-10-08","000053923201","1000019974","PUC Public Utilities Commsn"
"0189896301","KONICA MINOLTA BUSINESS SOLUTNS USA INC","401.71","2021-12-03","000053923401","1000017630","DPH Public Health"
"0175399501","VORTECH INDUSTRIES","2311.54","2021-08-20","000053923601","","MTA Municipal Transprtn Agncy"
"0180808701","LIFE-ASSIST INC","64.65","2021-09-17","000053923801","","POL Police"
"0186151401","SHELL ENERGY NORTH AMERICA (US) LP","9544.5","2021-11-02","000053923901","1000020546","PUC Public Utilities Commsn"
"0190273101","SONOMA CLEAN POWER","5580","2021-12-21","000053924101","1000018443","PUC Public Utilities Commsn"
"0184390301","COMCAST OF CALIFORNIA III INC","260.7","2021-10-19","000053924301","","ADM GSA - City Administrator"
"0210772101","COMCAST OF CALIFORNIA III INC","160.47","2022-05-24","000053924301","","ADM GSA - City Administrator"
"0178247301","BlueTriton Brands Inc","4.33","2021-08-23","000053924401","1000013890","DPH Public Health"
"0178262701","BlueTriton Brands Inc","30.68","2021-08-23","000053924401","1000013890","DPH Public Health"
"0178279001","BlueTriton Brands Inc","131.11","2021-08-24","000053924401","1000013890","DPH Public Health"
"0180117701","BlueTriton Brands Inc","99.75","2021-09-10","000053924401","1000013890","DPH Public Health"
"0180122901","BlueTriton Brands Inc","4.33","2021-09-10","000053924401","1000013890","DPH Public Health"
"0180356901","BlueTriton Brands Inc","48.37","2021-09-14","000053924401","1000013890","DPH Public Health"
"0180441401","BlueTriton Brands Inc","19.01","2021-09-14","000053924401","1000013890","DPH Public Health"
"0182647701","BlueTriton Brands Inc","92.41","2021-10-01","000053924401","1000013890","DPH Public Health"
"0182692701","BlueTriton Brands Inc","19.01","2021-10-01","000053924401","1000013890","DPH Public Health"
"0182698301","BlueTriton Brands Inc","41.03","2021-10-01","000053924401","1000013890","DPH Public Health"
"0182704901","BlueTriton Brands Inc","36.7","2021-10-01","000053924401","1000013890","DPH Public Health"
"0186180901","BlueTriton Brands Inc","4.33","2021-11-02","000053924401","1000013890","DPH Public Health"
"0186181801","BlueTriton Brands Inc","92.41","2021-11-02","000053924401","1000013890","DPH Public Health"
"0187611201","BlueTriton Brands Inc","40.82","2021-11-16","000053924401","1000013890","DPH Public Health"
"0187636801","BlueTriton Brands Inc","4.33","2021-11-16","000053924401","1000013890","DPH Public Health"
"0189978901","BlueTriton Brands Inc","12.99","2021-12-06","000053924401","1000013890","DPH Public Health"
"0190056501","BlueTriton Brands Inc","41.03","2021-12-06","000053924401","1000013890","DPH Public Health"
