"server_id","cpu_usage","cost","vm_category","core_bucket","memory_bucket","max_cpu","p95_max_cpu","timestamp_vm_created","timestamp_vm_deleted"
"n5k6Za7xxTucNAYNMVVIVkDfkZ+7uekekt8aEJ5nsFVgoB+57lM8wXzJBCZlC8bG","5.3","600","Unknown","2","8","33.44","33.44","1437600","1438200"
"zxooPaR85P6dINSjeMlzGKiMzz2wWGIqe2U17LYO8OgQHJMhZ4G5qIqLzd36/5ZC","49.3","500","Unknown","2","4","58.4","58.4","2088900","2090400"
"M9+oa4MNMVsEIhlw+MFcoDoCF0v3kQWLKyfxuUa1CxS4OvkSz806ik4PYzN/ugz4","1.57","600","Unknown","2","8","91.37","6.88","1032300","1155300"
"p/lJ1nxYt1mafdwd8STcDLVdvR2drsLrJyIfKmAMlLbhyp5AdLjOhkHYkYPE0vj3","15.66","500","Unknown","2","4","52.39","52.39","2336100","2336100"
"lG2BnkCWHYMtTexke/ptn7LKuFfX5t+66KJShYpP/PwicBGVQMaxBp08CxLjXaFf","30.08","600","Unknown","2","8","97.77","97.77","481800","486300"
"HHijhQ/MtYltJm9NGF732j1RA1vfSYj9WeJnRdsl+Dh0USII9ElJW5nuN20lOdm7","10.54","450","Unknown","2","2","97.65","54.19","1819500","1866900"
"ZpBFaR/T5DZVMm7i61ASYNcVA0m7mPp76pJr/r+4//uNZpv6XszwMLRD/YlJWhUN","14.71","600","Unknown","2","8","49.59","49.59","1678500","1680300"
"7Hl4tzzIvuEKb4RoAuIM7b/n8F8kKrH5T1rkjGbOTiMePqa8h6MWeKPwPVOPzbxy","0.04","1600","Unknown","4","32","0.09","0.09","1473000","1473600"
"QcYUIPBLEMfAPMqhsOLFMxH1ttlutEunB8mNRCt72zaXIm2V4o5vFaK/buDKX59E","0.04","1600","Unknown","4","32","1.01","1.01","186000","188700"
"gbL33oURml38MxT0hDuj2Kh18Ao5ggqlEgIwhV7JYz56FMlXPKHapvp8SLxLyA/h","21.24","450","Unknown","2","2","81.58","81.58","2563200","2563800"
"dQZtILJy1D6AD+DpTX4ogiRjBzUwc71A/dkBfXQLWDof/upW4SsI4cpYFfVFhuDo","1.02","2400","Delay-insensitive","8","32","74.94","12.59","1096800","2591400"
"O2B6bj/Laru/7+uNVTCwCXWJBTxF/Dw+F9gLR7XmT/2LeqXlALvPrw7DBho6FTMX","2.09","600","Unknown","2","8","6.12","6.12","59400","59400"
"BsDdOD8kf31obDEyI2puGv4Yt1tRXLLuuANWw2kajKDy7qVHfNvDQ0O2kKKG91hi","0.04","1600","Unknown","4","32","0.15","0.15","1002900","1005300"
"z6NOZo5Wdugzqjz18Iz8kpJr6TrCVQojmqdBy1C9moCXCNj/SlJm7YfpVLoRjoJT","1.83","600","Unknown","2","8","1.85","1.85","1282500","1282500"
"Zcs8L3ia82nm24VUYUfKusXI6vEgXrWAuZiUj/GqHi7r+QrdDFb1jTog22SL/1ZM","24.31","1600","Unknown","4","32","90.36","90.36","2412300","2414700"
"fQ2Mvq6o4OzV9B34f4jndyY5IBJcfZsGqudGU9P9eUwqdA/pZTkQn4JKqUkxaj2j","20.22","2400","Unknown","8","32","71.67","71.67","1923900","1925400"
"S94zyUJDZIkmPGsRbwgMnvxf3XGDvWaacJtK4698bYFEJI2CvqZnRdnltQ0hOoAN","2.64","3200","Unknown","8","64","73.32","56.82","554400","594600"
"M8SskorjbgHQqXdSTxl7vWT05WvBnBZoci6vRJBAHvUoY/Pr+q92eYabVDUluG9N","5.46","600","Unknown","2","8","96.5","38.88","682200","940200"
